Config	T = 5
0	32
1	117
2	75
3	124
4	84
5	107
6	120
7	91
8	118
9	173
10	140
11	113
12	82
13	106
14	73
15	45

Config	T = 4.99
0	50
1	110
2	74
3	107
4	73
5	120
6	98
7	124
8	96
9	158
10	164
11	109
12	83
13	112
14	84
15	38

Config	T = 4.98
0	58
1	109
2	73
3	114
4	81
5	108
6	112
7	95
8	109
9	153
10	143
11	106
12	99
13	101
14	91
15	48

Config	T = 4.97
0	41
1	103
2	85
3	110
4	88
5	123
6	108
7	113
8	112
9	158
10	128
11	105
12	97
13	98
14	94
15	37

Config	T = 4.96
0	50
1	99
2	80
3	91
4	81
5	94
6	128
7	101
8	119
9	158
10	186
11	103
12	81
13	111
14	80
15	38

Config	T = 4.95
0	44
1	109
2	79
3	104
4	87
5	112
6	115
7	109
8	102
9	155
10	161
11	115
12	76
13	120
14	68
15	44

Config	T = 4.94
0	33
1	116
2	73
3	120
4	74
5	121
6	114
7	116
8	117
9	166
10	144
11	101
12	83
13	97
14	82
15	43

Config	T = 4.93
0	38
1	117
2	84
3	110
4	75
5	114
6	97
7	130
8	99
9	144
10	173
11	113
12	67
13	120
14	76
15	43

Config	T = 4.92
0	40
1	115
2	77
3	113
4	77
5	113
6	107
7	115
8	105
9	172
10	146
11	108
12	80
13	110
14	80
15	42

Config	T = 4.91
0	57
1	110
2	86
3	96
4	75
5	76
6	120
7	101
8	117
9	148
10	175
11	105
12	81
13	119
14	92
15	42

Config	T = 4.9
0	33
1	116
2	85
3	116
4	82
5	99
6	115
7	102
8	118
9	160
10	151
11	113
12	76
13	113
14	79
15	42

Config	T = 4.89
0	39
1	108
2	78
3	107
4	78
5	101
6	108
7	102
8	107
9	195
10	162
11	102
12	88
13	103
14	88
15	34

Config	T = 4.88
0	36
1	109
2	85
3	112
4	84
5	101
6	98
7	99
8	102
9	159
10	185
11	120
12	80
13	117
14	81
15	32

Config	T = 4.87
0	35
1	113
2	78
3	103
4	81
5	104
6	113
7	111
8	100
9	162
10	183
11	105
12	86
13	115
14	83
15	28

Config	T = 4.86
0	32
1	123
2	77
3	121
4	72
5	108
6	118
7	115
8	121
9	184
10	114
11	112
12	71
13	114
14	76
15	42

Config	T = 4.85
0	46
1	114
2	67
3	119
4	73
5	119
6	110
7	108
8	109
9	184
10	127
11	105
12	92
13	100
14	86
15	41

Config	T = 4.84
0	46
1	110
2	76
3	106
4	70
5	109
6	104
7	119
8	106
9	163
10	180
11	105
12	74
13	109
14	80
15	43

Config	T = 4.83
0	38
1	113
2	82
3	108
4	78
5	103
6	102
7	112
8	101
9	166
10	185
11	105
12	74
13	110
14	78
15	45

Config	T = 4.82
0	43
1	98
2	71
3	103
4	82
5	109
6	128
7	93
8	122
9	168
10	180
11	108
12	83
13	103
14	72
15	37

Config	T = 4.81
0	42
1	99
2	87
3	99
4	87
5	111
6	118
7	111
8	118
9	146
10	169
11	104
12	81
13	104
14	81
15	43

Config	T = 4.8
0	35
1	119
2	73
3	121
4	72
5	110
6	115
7	109
8	118
9	160
10	153
11	101
12	87
13	99
14	88
15	40

Config	T = 4.79
0	33
1	108
2	83
3	114
4	78
5	99
6	116
7	98
8	127
9	166
10	164
11	112
12	78
13	106
14	83
15	35

Config	T = 4.78
0	35
1	110
2	81
3	104
4	83
5	96
6	122
7	100
8	114
9	142
10	208
11	107
12	72
13	113
14	70
15	43

Config	T = 4.77
0	50
1	109
2	65
3	103
4	80
5	102
6	120
7	93
8	99
9	166
10	189
11	118
12	82
13	124
14	67
15	33

Config	T = 4.76
0	48
1	104
2	80
3	100
4	75
5	105
6	108
7	114
8	109
9	148
10	188
11	129
12	60
13	133
14	65
15	34

Config	T = 4.75
0	40
1	120
2	71
3	116
4	68
5	98
6	120
7	105
8	119
9	186
10	134
11	108
12	84
13	112
14	87
15	32

Config	T = 4.74
0	42
1	122
2	79
3	115
4	75
5	99
6	124
7	110
8	121
9	146
10	137
11	114
12	73
13	121
14	77
15	45

Config	T = 4.73
0	51
1	113
2	80
3	101
4	77
5	104
6	124
7	119
8	115
9	156
10	141
11	94
12	81
13	106
14	84
15	54

Config	T = 4.72
0	43
1	111
2	80
3	124
4	74
5	106
6	100
7	99
8	119
9	158
10	155
11	123
12	74
13	110
14	80
15	44

Config	T = 4.71
0	32
1	104
2	78
3	110
4	69
5	92
6	123
7	95
8	138
9	182
10	180
11	114
12	69
13	108
14	78
15	28

Config	T = 4.7
0	48
1	111
2	73
3	114
4	69
5	106
6	93
7	107
8	100
9	187
10	175
11	108
12	77
13	105
14	81
15	46

Config	T = 4.69
0	28
1	118
2	77
3	122
4	77
5	101
6	99
7	97
8	103
9	201
10	162
11	120
12	72
13	116
14	72
15	35

Config	T = 4.68
0	44
1	107
2	85
3	96
4	82
5	106
6	106
7	120
8	98
9	151
10	180
11	114
12	75
13	125
14	78
15	33

Config	T = 4.67
0	41
1	109
2	83
3	109
4	88
5	116
6	108
7	111
8	103
9	163
10	149
11	110
12	77
13	110
14	72
15	51

Config	T = 4.66
0	40
1	122
2	62
3	121
4	66
5	124
6	110
7	121
8	105
9	163
10	147
11	112
12	83
13	113
14	79
15	32

Config	T = 4.65
0	26
1	126
2	81
3	105
4	85
5	108
6	113
7	125
8	88
9	180
10	150
11	107
12	73
13	128
14	69
15	36

Config	T = 4.64
0	31
1	114
2	71
3	114
4	75
5	115
6	115
7	111
8	111
9	206
10	129
11	105
12	87
13	105
14	83
15	28

Config	T = 4.63
0	41
1	99
2	81
3	111
4	75
5	106
6	97
7	100
8	115
9	181
10	174
11	122
12	77
13	110
14	83
15	28

Config	T = 4.62
0	31
1	115
2	79
3	112
4	79
5	98
6	116
7	101
8	113
9	142
10	201
11	115
12	73
13	118
14	73
15	34

Config	T = 4.61
0	45
1	105
2	96
3	104
4	78
5	96
6	102
7	115
8	119
9	130
10	177
11	121
12	66
13	122
14	84
15	40

Config	T = 4.6
0	38
1	117
2	72
3	113
4	77
5	107
6	101
7	106
8	92
9	198
10	161
11	98
12	93
13	102
14	88
15	37

Config	T = 4.59
0	42
1	102
2	82
3	107
4	73
5	103
6	113
7	107
8	127
9	159
10	173
11	109
12	77
13	104
14	86
15	36

Config	T = 4.58
0	44
1	97
2	82
3	88
4	83
5	128
6	106
7	136
8	96
9	167
10	175
11	111
12	64
13	120
14	63
15	40

Config	T = 4.57
0	35
1	98
2	85
3	111
4	83
5	108
6	100
7	97
8	115
9	157
10	204
11	121
12	68
13	108
14	70
15	40

Config	T = 4.56
0	32
1	108
2	94
3	108
4	90
5	94
6	105
7	98
8	109
9	189
10	155
11	105
12	79
13	105
14	83
15	46

Config	T = 4.55
0	47
1	114
2	66
3	119
4	68
5	106
6	109
7	99
8	112
9	188
10	143
11	108
12	94
13	103
14	92
15	32

Config	T = 4.54
0	23
1	120
2	66
3	128
4	67
5	125
6	104
7	116
8	111
9	186
10	160
11	104
12	81
13	96
14	80
15	33

Config	T = 4.53
0	41
1	92
2	93
3	105
4	93
5	115
6	97
7	102
8	110
9	140
10	189
11	122
12	75
13	109
14	75
15	42

Config	T = 4.52
0	45
1	100
2	80
3	101
4	73
5	103
6	124
7	109
8	132
9	163
10	160
11	105
12	80
13	104
14	87
15	34

Config	T = 4.51
0	36
1	110
2	74
3	96
4	83
5	108
6	130
7	113
8	107
9	178
10	162
11	101
12	82
13	115
14	73
15	32

Config	T = 4.5
0	30
1	86
2	81
3	98
4	87
5	126
6	112
7	108
8	118
9	162
10	205
11	114
12	76
13	102
14	70
15	25

Config	T = 4.49
0	34
1	107
2	72
3	113
4	73
5	127
6	94
7	120
8	99
9	183
10	185
11	103
12	77
13	97
14	76
15	40

Config	T = 4.48
0	38
1	111
2	87
3	97
4	96
5	106
6	105
7	111
8	82
9	140
10	191
11	119
12	81
13	133
14	72
15	31

Config	T = 4.47
0	23
1	116
2	84
3	119
4	65
5	112
6	98
7	128
8	120
9	180
10	159
11	106
12	67
13	103
14	86
15	34

Config	T = 4.46
0	29
1	105
2	72
3	103
4	79
5	109
6	121
7	104
8	112
9	184
10	193
11	106
12	77
13	108
14	70
15	28

Config	T = 4.45
0	36
1	118
2	72
3	117
4	72
5	98
6	108
7	99
8	107
9	192
10	169
11	100
12	86
13	101
14	86
15	39

Config	T = 4.44
0	44
1	114
2	67
3	117
4	69
5	93
6	126
7	88
8	127
9	141
10	187
11	115
12	87
13	112
14	85
15	28

Config	T = 4.43
0	28
1	105
2	76
3	107
4	85
5	116
6	125
7	105
8	118
9	181
10	163
11	107
12	75
13	105
14	66
15	38

Config	T = 4.42
0	47
1	108
2	77
3	112
4	85
5	124
6	96
7	112
8	92
9	156
10	148
11	128
12	83
13	124
14	75
15	33

Config	T = 4.41
0	37
1	96
2	74
3	98
4	78
5	113
6	123
7	107
8	121
9	157
10	201
11	115
12	73
13	113
14	69
15	25

Config	T = 4.4
0	40
1	98
2	74
3	102
4	70
5	115
6	117
7	115
8	125
9	161
10	192
11	103
12	76
13	99
14	80
15	33

Config	T = 4.39
0	30
1	101
2	83
3	111
4	83
5	97
6	126
7	87
8	136
9	154
10	183
11	107
12	88
13	97
14	88
15	29

Config	T = 4.38
0	38
1	113
2	72
3	102
4	74
5	128
6	123
7	137
8	110
9	145
10	165
11	105
12	65
13	116
14	63
15	44

Config	T = 4.37
0	35
1	111
2	84
3	106
4	76
5	118
6	97
7	131
8	100
9	145
10	181
11	113
12	73
13	118
14	81
15	31

Config	T = 4.36
0	29
1	100
2	80
3	107
4	87
5	120
6	108
7	106
8	108
9	191
10	158
11	112
12	85
13	105
14	78
15	26

Config	T = 4.35
0	37
1	118
2	85
3	120
4	73
5	100
6	99
7	110
8	113
9	142
10	171
11	117
12	75
13	115
14	87
15	38

Config	T = 4.34
0	23
1	105
2	90
3	99
4	80
5	93
6	116
7	109
8	120
9	174
10	196
11	102
12	75
13	108
14	85
15	25

Config	T = 4.33
0	35
1	99
2	83
3	103
4	80
5	117
6	108
7	116
8	115
9	168
10	174
11	110
12	75
13	106
14	78
15	33

Config	T = 4.32
0	25
1	105
2	89
3	113
4	90
5	121
6	88
7	112
8	95
9	168
10	177
11	124
12	74
13	116
14	73
15	30

Config	T = 4.31
0	29
1	107
2	78
3	104
4	77
5	96
6	117
7	100
8	115
9	181
10	201
11	110
12	71
13	113
14	72
15	29

Config	T = 4.3
0	34
1	113
2	83
3	99
4	84
5	100
6	114
7	113
8	99
9	131
10	213
11	100
12	87
13	114
14	86
15	30

Config	T = 4.29
0	38
1	106
2	73
3	110
4	80
5	122
6	99
7	111
8	96
9	172
10	191
11	108
12	77
13	104
14	70
15	43

Config	T = 4.28
0	38
1	107
2	73
3	95
4	80
5	112
6	114
7	117
8	95
9	161
10	210
11	109
12	71
13	121
14	64
15	33

Config	T = 4.27
0	29
1	119
2	81
3	116
4	81
5	111
6	110
7	114
8	107
9	145
10	162
11	114
12	82
13	117
14	82
15	30

Config	T = 4.26
0	36
1	115
2	75
3	129
4	75
5	112
6	110
7	98
8	124
9	151
10	152
11	112
12	85
13	98
14	85
15	43

Config	T = 4.25
0	44
1	100
2	89
3	102
4	83
5	120
6	105
7	124
8	113
9	148
10	152
11	119
12	68
13	117
14	74
15	42

Config	T = 4.24
0	34
1	126
2	53
3	126
4	68
5	98
6	125
7	83
8	110
9	199
10	165
11	103
12	97
13	103
14	82
15	28

Config	T = 4.23
0	42
1	122
2	71
3	119
4	65
5	97
6	116
7	106
8	119
9	149
10	167
11	116
12	76
13	119
14	82
15	34

Config	T = 4.22
0	36
1	110
2	71
3	114
4	75
5	113
6	114
7	105
8	114
9	164
10	176
11	115
12	76
13	111
14	72
15	34

Config	T = 4.21
0	39
1	100
2	90
3	97
4	78
5	116
6	96
7	131
8	105
9	163
10	173
11	116
12	67
13	119
14	79
15	31

Config	T = 4.2
0	34
1	106
2	80
3	108
4	81
5	124
6	104
7	121
8	105
9	144
10	194
11	108
12	71
13	106
14	70
15	44

Config	T = 4.19
0	32
1	116
2	71
3	114
4	71
5	111
6	114
7	113
8	112
9	156
10	186
11	118
12	67
13	120
14	67
15	32

Config	T = 4.18
0	36
1	111
2	67
3	117
4	72
5	118
6	101
7	107
8	102
9	170
10	194
11	119
12	72
13	113
14	67
15	34

Config	T = 4.17
0	37
1	119
2	71
3	121
4	70
5	115
6	107
7	114
8	110
9	178
10	135
11	110
12	86
13	108
14	87
15	32

Config	T = 4.16
0	36
1	115
2	77
3	122
4	76
5	120
6	105
7	114
8	113
9	167
10	134
11	111
12	82
13	104
14	83
15	41

Config	T = 4.15
0	34
1	104
2	74
3	101
4	81
5	101
6	119
7	97
8	109
9	200
10	181
11	106
12	81
13	109
14	74
15	29

Config	T = 4.14
0	31
1	100
2	83
3	106
4	85
5	108
6	96
7	100
8	100
9	189
10	202
11	102
12	84
13	96
14	82
15	36

Config	T = 4.13
0	43
1	110
2	76
3	103
4	83
5	111
6	124
7	111
8	110
9	133
10	177
11	116
12	74
13	123
14	67
15	39

Config	T = 4.12
0	36
1	102
2	78
3	106
4	83
5	113
6	122
7	104
8	121
9	168
10	157
11	116
12	78
13	112
14	73
15	31

Config	T = 4.11
0	40
1	106
2	67
3	107
4	72
5	123
6	119
7	117
8	115
9	161
10	182
11	112
12	66
13	111
14	61
15	41

Config	T = 4.1
0	28
1	113
2	79
3	121
4	74
5	129
6	78
7	126
8	91
9	183
10	172
11	113
12	73
13	105
14	78
15	37

Config	T = 4.09
0	30
1	106
2	76
3	118
4	69
5	92
6	118
7	87
8	137
9	203
10	165
11	109
12	78
13	97
14	85
15	30

Config	T = 4.08
0	34
1	103
2	79
3	106
4	70
5	126
6	98
7	132
8	110
9	177
10	167
11	122
12	60
13	119
14	69
15	28

Config	T = 4.07
0	36
1	108
2	72
3	104
4	75
5	105
6	122
7	106
8	115
9	180
10	177
11	113
12	71
13	117
14	68
15	31

Config	T = 4.06
0	25
1	111
2	68
3	119
4	71
5	121
6	104
7	110
8	109
9	164
10	203
11	122
12	69
13	114
14	66
15	24

Config	T = 4.05
0	29
1	112
2	74
3	119
4	73
5	108
6	107
7	102
8	115
9	154
10	206
11	117
12	69
13	110
14	70
15	35

Config	T = 4.04
0	32
1	111
2	72
3	108
4	73
5	110
6	126
7	112
8	122
9	171
10	177
11	96
12	75
13	99
14	74
15	42

Config	T = 4.03
0	25
1	121
2	66
3	115
4	68
5	100
6	119
7	104
8	111
9	196
10	184
11	100
12	79
13	106
14	77
15	29

Config	T = 4.02
0	44
1	112
2	73
3	110
4	77
5	100
6	113
7	98
8	107
9	153
10	179
11	117
12	88
13	119
14	84
15	26

Config	T = 4.01
0	37
1	109
2	60
3	109
4	72
5	125
6	117
7	113
8	105
9	203
10	150
11	106
12	88
13	106
14	76
15	24

Config	T = 4
0	33
1	121
2	70
3	121
4	68
5	115
6	104
7	117
8	106
9	189
10	150
11	103
12	79
13	103
14	81
15	40

Config	T = 3.99
0	32
1	99
2	73
3	115
4	75
5	129
6	93
7	111
8	107
9	181
10	188
11	130
12	63
13	114
14	61
15	29

Config	T = 3.98
0	32
1	115
2	62
3	125
4	74
5	124
6	111
7	102
8	109
9	191
10	149
11	106
12	91
13	96
14	79
15	34

Config	T = 3.97
0	27
1	105
2	75
3	119
4	77
5	117
6	110
7	101
8	122
9	186
10	160
11	128
12	66
13	114
14	64
15	29

Config	T = 3.96
0	31
1	119
2	77
3	109
4	82
5	93
6	113
7	98
8	98
9	187
10	181
11	105
12	80
13	115
14	75
15	37

