Config	T = 5
1	3450
2	671
3	3371
4	673
5	3025
6	2965
7	3102
8	2884
9	5710
10	5864
11	3323
12	671
13	3402
14	669
15	135

Config	T = 1.3
0	86
1	3511
2	602
3	3536
4	611
5	2981
6	2903
7	2947
8	2919
9	5790
10	5781
11	3551
12	583
13	3526
14	574
15	99

Config	T = 1.2
0	73
1	3511
2	505
3	3511
4	488
5	3000
6	2914
7	3017
8	2931
9	5900
10	6046
11	3529
12	486
13	3529
14	503
15	57

Config	T = 1.1
0	31
1	3614
2	417
3	3598
4	388
5	2893
6	2909
7	2938
8	2922
9	6176
10	6093
11	3583
12	376
13	3599
14	405
15	58

Config	T = 1
0	24
1	3655
2	305
3	3713
4	319
5	2931
6	2888
7	2859
8	2932
9	6047
10	6312
11	3703
12	328
13	3645
14	314
15	25

Config	T = 0.9
0	14
1	3730
2	242
3	3755
4	234
5	2816
6	2919
7	2799
8	2952
9	6415
10	6151
11	3754
12	233
13	3729
14	241
15	16

Config	T = 0.8
0	12
1	3773
2	136
3	3819
4	165
5	2763
6	2867
7	2688
8	2884
9	6487
10	6499
11	3796
12	190
13	3750
14	161
15	10

Config	T = 0.7
0	6
1	3947
2	99
3	3945
4	99
5	2674
6	2789
7	2676
8	2787
9	6371
10	6508
11	3938
12	109
13	3940
14	109
15	3

Config	T = 0.6
0	3
1	3933
2	39
3	3891
4	33
5	2786
6	2626
7	2834
8	2590
9	6623
10	6742
11	3888
12	37
13	3930
14	43
15	2

Config	T = 0.5
0	1
1	4046
2	11
3	4009
4	13
5	3010
6	2286
7	3045
8	2247
9	6635
10	6616
11	4007
12	16
13	4044
14	14
15	0

Config	T = 0.4
0	0
1	4081
2	4
3	4026
4	4
5	2451
6	2893
7	2506
8	2838
9	6606
10	6476
11	4026
12	4
13	4081
14	4
15	0

Config	T = 0.3
0	0
1	4219
2	0
3	4227
4	0
5	3781
6	1773
7	3773
8	1781
9	5831
10	6169
11	4227
12	0
13	4219
14	0
15	0

Config	T = 0.2
0	0
1	4229
2	0
3	4234
4	0
5	3771
6	1766
7	3766
8	1771
9	5843
10	6157
11	4234
12	0
13	4229
14	0
15	0

Config	T = 0.1
0	0
1	4228
2	0
3	4202
4	0
5	3772
6	1798
7	3798
8	1772
9	5981
10	6019
11	4202
12	0
13	4228
14	0
15	0

