T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	236	1564
4.9	278	1522
4.8	254	1546
4.7	270	1530
4.6	246	1554
4.5	268	1532
4.4	272	1528
4.3	256	1544
4.2	236	1564
4.1	206	1594
4	250	1550
3.9	210	1590
3.8	204	1596
3.7	212	1588
3.6	208	1592
3.5	216	1584
3.4	172	1628
3.3	186	1614
3.2	206	1594
3.1	176	1624
3	164	1636
2.9	184	1616
2.8	156	1644
2.7	178	1622
2.6	172	1628
2.5	162	1638
2.4	158	1642
2.3	142	1658
2.2	138	1662
2.1	138	1662
2	138	1662
1.9	106	1694
1.8	128	1672
1.7	108	1692
1.6	98	1702
1.5	86	1714
1.4	72	1728
1.3	62	1738
1.2	36	1764
1.1	30	1770
1	44	1756
0.9	26	1774
0.8	12	1788
0.7	4	1796
0.6	0	1800
0.5	0	1800
0.4	0	1800
0.3	0	1800
0.2	0	1800
0.1	0	1800
