T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	148	652
4.9	122	678
4.8	100	700
4.7	98	702
4.6	104	696
4.5	114	686
4.4	104	696
4.3	104	696
4.2	110	690
4.1	108	692
4	136	664
3.9	88	712
3.8	114	686
3.7	114	686
3.6	86	714
3.5	86	714
3.4	114	686
3.3	104	696
3.2	94	706
3.1	78	722
3	92	708
2.9	66	734
2.8	76	724
2.7	80	720
2.6	70	730
2.5	84	716
2.4	76	724
2.3	78	722
2.2	68	732
2.1	56	744
2	52	748
1.9	60	740
1.8	44	756
1.7	34	766
1.6	36	764
1.5	24	776
1.4	20	780
1.3	18	782
1.2	14	786
1.1	22	778
1	4	796
0.9	12	788
0.8	4	796
0.7	0	800
0.6	0	800
0.5	0	800
0.4	0	800
0.3	0	800
0.2	0	800
0.1	0	800
