T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	2408	13792
4.9	2360	13840
4.8	2382	13818
4.7	2276	13924
4.6	2266	13934
4.5	2144	14056
4.4	2236	13964
4.3	2144	14056
4.2	2090	14110
4.1	2028	14172
4	1942	14258
3.9	1996	14204
3.8	1974	14226
3.7	1928	14272
3.6	1834	14366
3.5	1836	14364
3.4	1864	14336
3.3	1748	14452
3.2	1648	14552
3.1	1706	14494
3	1674	14526
2.9	1716	14484
2.8	1572	14628
2.7	1536	14664
2.6	1466	14734
2.5	1454	14746
2.4	1328	14872
2.3	1350	14850
2.2	1228	14972
2.1	1160	15040
2	1122	15078
1.9	1020	15180
1.8	994	15206
1.7	854	15346
1.6	766	15434
1.5	720	15480
1.4	624	15576
1.3	556	15644
1.2	450	15750
1.1	388	15812
1	272	15928
0.9	236	15964
0.8	138	16062
0.7	76	16124
0.6	20	16180
0.5	6	16194
0.4	0	16200
0.3	0	16200
0.2	0	16200
0.1	0	16200
