T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	70	442
4.9	64	448
4.8	74	438
4.7	60	452
4.6	68	444
4.5	72	440
4.4	62	450
4.3	66	446
4.2	48	464
4.1	70	442
4	78	434
3.9	54	458
3.8	68	444
3.7	50	462
3.6	68	444
3.5	66	446
3.4	56	456
3.3	56	456
3.2	50	462
3.1	54	458
3	48	464
2.9	62	450
2.8	44	468
2.7	46	466
2.6	62	450
2.5	38	474
2.4	26	486
2.3	28	484
2.2	40	472
2.1	30	482
2	42	470
1.9	28	484
1.8	32	480
1.7	34	478
1.6	16	496
1.5	24	488
1.4	16	496
1.3	24	488
1.2	22	490
1.1	18	494
1	4	508
0.9	6	506
0.8	4	508
0.7	6	506
0.6	0	512
0.5	0	512
0.4	0	512
0.3	0	512
0.2	0	512
0.1	0	512
