T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	28	100
4.99	22	106
4.98	20	108
4.97	16	112
4.96	20	108
4.95	14	114
4.94	20	108
4.93	22	106
4.92	18	110
4.91	16	112
4.9	24	104
4.89	30	98
4.88	20	108
4.87	12	116
4.86	18	110
4.85	18	110
4.84	26	102
4.83	16	112
4.82	18	110
4.81	14	114
4.8	18	110
4.79	18	110
4.78	14	114
4.77	20	108
4.76	22	106
4.75	18	110
4.74	24	104
4.73	12	116
4.72	18	110
4.71	18	110
4.7	20	108
4.69	16	112
4.68	24	104
4.67	24	104
4.66	12	116
4.65	22	106
4.64	18	110
4.63	20	108
4.62	20	108
4.61	20	108
4.6	14	114
4.59	12	116
4.58	16	112
4.57	14	114
4.56	16	112
4.55	20	108
4.54	14	114
4.53	18	110
4.52	18	110
4.51	18	110
4.5	20	108
4.49	18	110
4.48	18	110
4.47	14	114
4.46	32	96
4.45	16	112
4.44	20	108
4.43	22	106
4.42	20	108
4.41	12	116
4.4	12	116
4.39	20	108
4.38	6	122
4.37	26	102
4.36	22	106
4.35	10	118
4.34	16	112
4.33	18	110
4.32	16	112
4.31	18	110
4.3	24	104
4.29	14	114
4.28	10	118
4.27	20	108
4.26	16	112
4.25	22	106
4.24	22	106
4.23	20	108
4.22	12	116
4.21	12	116
4.2	14	114
4.19	26	102
4.18	18	110
4.17	22	106
4.16	16	112
4.15	20	108
4.14	20	108
4.13	18	110
4.12	18	110
4.11	16	112
4.1	10	118
4.09	14	114
4.08	26	102
4.07	10	118
4.06	16	112
4.05	18	110
4.04	8	120
4.03	16	112
4.02	16	112
4.01	20	108
4	12	116
3.99	20	108
3.98	22	106
3.97	10	118
3.96	14	114
3.95	14	114
3.94	28	100
3.93	18	110
3.92	18	110
3.91	8	120
3.9	14	114
3.89	18	110
3.88	8	120
3.87	14	114
3.86	16	112
3.85	26	102
3.84	20	108
3.83	18	110
3.82	14	114
3.81	14	114
3.8	20	108
3.79	12	116
3.78	16	112
3.77	22	106
3.76	12	116
3.75	18	110
3.74	20	108
3.73	14	114
3.72	18	110
3.71	8	120
3.7	14	114
3.69	14	114
3.68	12	116
3.67	16	112
3.66	8	120
3.65	12	116
3.64	14	114
3.63	18	110
3.62	20	108
3.61	8	120
3.6	18	110
3.59	22	106
3.58	16	112
3.57	14	114
3.56	12	116
3.55	20	108
3.54	16	112
3.53	22	106
3.52	12	116
3.51	18	110
3.5	14	114
3.49	18	110
3.48	14	114
3.47	6	122
3.46	4	124
3.45	14	114
3.44	14	114
3.43	14	114
3.42	18	110
3.41	22	106
3.4	10	118
3.39	12	116
3.38	10	118
3.37	10	118
3.36	10	118
3.35	14	114
3.34	14	114
3.33	12	116
3.32	18	110
3.31	16	112
3.3	16	112
3.29	14	114
3.28	12	116
