T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	236	1564
4.99	284	1516
4.98	288	1512
4.97	246	1554
4.96	234	1566
4.95	244	1556
4.94	252	1548
4.93	246	1554
4.92	270	1530
4.91	268	1532
4.9	286	1514
4.89	232	1568
4.88	262	1538
4.87	266	1534
4.86	270	1530
4.85	270	1530
4.84	278	1522
4.83	278	1522
4.82	250	1550
4.81	270	1530
4.8	256	1544
4.79	286	1514
4.78	250	1550
4.77	246	1554
4.76	240	1560
4.75	268	1532
4.74	234	1566
4.73	210	1590
4.72	230	1570
4.71	264	1536
4.7	254	1546
4.69	216	1584
4.68	260	1540
4.67	260	1540
4.66	260	1540
4.65	244	1556
4.64	230	1570
4.63	256	1544
4.62	240	1560
4.61	264	1536
4.6	222	1578
4.59	254	1546
4.58	296	1504
4.57	250	1550
4.56	262	1538
4.55	258	1542
4.54	258	1542
4.53	238	1562
4.52	252	1548
4.51	224	1576
4.5	242	1558
4.49	252	1548
4.48	214	1586
4.47	254	1546
4.46	256	1544
4.45	262	1538
4.44	242	1558
4.43	240	1560
4.42	224	1576
4.41	236	1564
4.4	254	1546
4.39	262	1538
4.38	260	1540
4.37	214	1586
4.36	230	1570
4.35	224	1576
4.34	248	1552
4.33	208	1592
4.32	240	1560
4.31	218	1582
4.3	240	1560
4.29	228	1572
4.28	214	1586
4.27	250	1550
4.26	230	1570
4.25	230	1570
4.24	228	1572
4.23	232	1568
4.22	222	1578
4.21	216	1584
4.2	224	1576
4.19	272	1528
4.18	222	1578
4.17	250	1550
4.16	244	1556
4.15	236	1564
4.14	250	1550
4.13	228	1572
4.12	200	1600
4.11	248	1552
4.1	214	1586
4.09	218	1582
4.08	216	1584
4.07	232	1568
4.06	234	1566
4.05	204	1596
4.04	226	1574
4.03	266	1534
4.02	210	1590
4.01	250	1550
4	220	1580
3.99	222	1578
3.98	226	1574
3.97	202	1598
3.96	238	1562
3.95	234	1566
3.94	196	1604
3.93	242	1558
3.92	214	1586
3.91	208	1592
3.9	204	1596
3.89	228	1572
3.88	232	1568
3.87	256	1544
3.86	224	1576
3.85	246	1554
3.84	240	1560
3.83	232	1568
3.82	256	1544
3.81	230	1570
3.8	222	1578
3.79	212	1588
3.78	240	1560
3.77	228	1572
3.76	208	1592
3.75	194	1606
3.74	222	1578
3.73	192	1608
3.72	220	1580
3.71	230	1570
3.7	242	1558
3.69	204	1596
3.68	202	1598
3.67	196	1604
3.66	216	1584
3.65	226	1574
3.64	216	1584
3.63	210	1590
3.62	224	1576
3.61	234	1566
3.6	186	1614
3.59	240	1560
3.58	228	1572
3.57	190	1610
3.56	232	1568
3.55	222	1578
3.54	200	1600
3.53	204	1596
3.52	228	1572
3.51	196	1604
3.5	222	1578
3.49	234	1566
3.48	202	1598
3.47	198	1602
3.46	182	1618
3.45	206	1594
3.44	192	1608
3.43	220	1580
3.42	200	1600
3.41	220	1580
3.4	208	1592
3.39	168	1632
3.38	258	1542
3.37	218	1582
3.36	186	1614
3.35	220	1580
3.34	212	1588
3.33	218	1582
3.32	218	1582
3.31	204	1596
3.3	180	1620
3.29	208	1592
3.28	192	1608
3.27	218	1582
3.26	198	1602
3.25	180	1620
3.24	200	1600
3.23	218	1582
3.22	194	1606
3.21	182	1618
3.2	196	1604
3.19	210	1590
3.18	172	1628
3.17	184	1616
3.16	176	1624
3.15	218	1582
3.14	190	1610
3.13	176	1624
3.12	188	1612
3.11	204	1596
3.1	200	1600
3.09	170	1630
3.08	178	1622
3.07	176	1624
3.06	218	1582
3.05	164	1636
3.04	210	1590
3.03	182	1618
3.02	168	1632
3.01	176	1624
3	198	1602
2.99	198	1602
2.98	194	1606
2.97	180	1620
2.96	192	1608
2.95	158	1642
2.94	182	1618
2.93	192	1608
2.92	204	1596
2.91	176	1624
2.9	158	1642
2.89	164	1636
2.88	184	1616
2.87	164	1636
2.86	194	1606
2.85	166	1634
2.84	184	1616
2.83	178	1622
2.82	168	1632
2.81	178	1622
2.8	176	1624
2.79	176	1624
2.78	178	1622
2.77	170	1630
2.76	172	1628
2.75	178	1622
2.74	156	1644
2.73	166	1634
2.72	168	1632
2.71	172	1628
2.7	162	1638
2.69	188	1612
2.68	176	1624
2.67	134	1666
2.66	154	1646
2.65	184	1616
2.64	168	1632
2.63	138	1662
2.62	166	1634
2.61	160	1640
2.6	170	1630
2.59	146	1654
2.58	146	1654
2.57	152	1648
2.56	174	1626
2.55	188	1612
2.54	140	1660
2.53	154	1646
2.52	174	1626
2.51	154	1646
2.5	152	1648
2.49	132	1668
2.48	168	1632
2.47	190	1610
2.46	170	1630
2.45	148	1652
2.44	138	1662
2.43	168	1632
2.42	174	1626
2.41	150	1650
2.4	158	1642
2.39	142	1658
2.38	130	1670
2.37	154	1646
2.36	150	1650
2.35	140	1660
2.34	134	1666
2.33	134	1666
2.32	148	1652
2.31	150	1650
2.3	128	1672
2.29	140	1660
2.28	134	1666
2.27	164	1636
2.26	134	1666
2.25	128	1672
2.24	124	1676
2.23	160	1640
2.22	136	1664
2.21	148	1652
2.2	148	1652
2.19	148	1652
2.18	126	1674
2.17	120	1680
2.16	96	1704
2.15	114	1686
2.14	124	1676
2.13	174	1626
2.12	142	1658
2.11	98	1702
2.1	134	1666
2.09	120	1680
2.08	136	1664
2.07	132	1668
2.06	118	1682
2.05	132	1668
2.04	128	1672
2.03	134	1666
2.02	122	1678
2.01	126	1674
2	140	1660
1.99	104	1696
1.98	128	1672
1.97	124	1676
1.96	114	1686
1.95	124	1676
1.94	94	1706
1.93	120	1680
1.92	102	1698
1.91	106	1694
1.9	118	1682
1.89	126	1674
1.88	108	1692
1.87	122	1678
1.86	108	1692
1.85	120	1680
1.84	106	1694
