T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	1032	6168
4.99	982	6218
4.98	1022	6178
4.97	1016	6184
4.96	946	6254
4.95	990	6210
4.94	984	6216
4.93	1028	6172
4.92	1022	6178
4.91	992	6208
4.9	1010	6190
4.89	1020	6180
4.88	1056	6144
4.87	1072	6128
4.86	1018	6182
4.85	1020	6180
4.84	1072	6128
4.83	978	6222
4.82	1068	6132
4.81	1038	6162
4.8	1024	6176
4.79	996	6204
4.78	1094	6106
4.77	1012	6188
4.76	1016	6184
4.75	1038	6162
4.74	980	6220
4.73	1004	6196
4.72	1006	6194
4.71	1034	6166
4.7	978	6222
4.69	974	6226
4.68	1058	6142
4.67	966	6234
4.66	1040	6160
4.65	952	6248
4.64	1030	6170
4.63	1046	6154
4.62	1034	6166
4.61	1026	6174
4.6	1024	6176
4.59	954	6246
4.58	966	6234
4.57	944	6256
4.56	944	6256
4.55	966	6234
4.54	972	6228
4.53	986	6214
4.52	1030	6170
4.51	996	6204
4.5	954	6246
4.49	988	6212
4.48	966	6234
4.47	962	6238
4.46	1010	6190
4.45	986	6214
4.44	934	6266
4.43	918	6282
4.42	988	6212
4.41	930	6270
4.4	956	6244
4.39	978	6222
4.38	948	6252
4.37	1026	6174
4.36	950	6250
4.35	1006	6194
4.34	946	6254
4.33	938	6262
4.32	924	6276
4.31	918	6282
4.3	954	6246
4.29	974	6226
4.28	942	6258
4.27	972	6228
4.26	976	6224
4.25	960	6240
4.24	926	6274
4.23	930	6270
4.22	980	6220
4.21	872	6328
4.2	944	6256
4.19	948	6252
4.18	976	6224
4.17	920	6280
4.16	942	6258
4.15	928	6272
4.14	896	6304
4.13	826	6374
4.12	912	6288
4.11	934	6266
4.1	918	6282
4.09	906	6294
4.08	920	6280
4.07	896	6304
4.06	948	6252
4.05	930	6270
4.04	900	6300
4.03	942	6258
4.02	894	6306
4.01	878	6322
4	882	6318
3.99	924	6276
3.98	900	6300
3.97	942	6258
3.96	900	6300
3.95	886	6314
3.94	888	6312
3.93	898	6302
3.92	912	6288
3.91	894	6306
3.9	886	6314
3.89	854	6346
3.88	926	6274
3.87	832	6368
3.86	892	6308
3.85	900	6300
3.84	872	6328
3.83	874	6326
3.82	902	6298
3.81	864	6336
3.8	826	6374
3.79	894	6306
3.78	836	6364
3.77	852	6348
3.76	886	6314
3.75	894	6306
3.74	858	6342
3.73	892	6308
3.72	862	6338
3.71	880	6320
3.7	876	6324
3.69	854	6346
3.68	826	6374
3.67	838	6362
3.66	814	6386
3.65	918	6282
3.64	880	6320
3.63	846	6354
3.62	920	6280
3.61	870	6330
3.6	850	6350
3.59	848	6352
3.58	842	6358
3.57	876	6324
3.56	772	6428
3.55	832	6368
3.54	836	6364
3.53	860	6340
3.52	840	6360
3.51	826	6374
3.5	806	6394
3.49	814	6386
3.48	830	6370
3.47	824	6376
3.46	792	6408
3.45	806	6394
3.44	840	6360
3.43	788	6412
3.42	778	6422
3.41	732	6468
3.4	820	6380
3.39	780	6420
3.38	792	6408
3.37	852	6348
3.36	838	6362
3.35	840	6360
3.34	790	6410
3.33	792	6408
3.32	822	6378
3.31	818	6382
3.3	746	6454
3.29	828	6372
3.28	812	6388
3.27	806	6394
3.26	774	6426
3.25	768	6432
3.24	838	6362
3.23	738	6462
3.22	744	6456
3.21	802	6398
3.2	754	6446
3.19	758	6442
3.18	750	6450
3.17	756	6444
3.16	778	6422
3.15	758	6442
3.14	768	6432
3.13	776	6424
3.12	700	6500
3.11	784	6416
3.1	716	6484
3.09	754	6446
3.08	790	6410
3.07	758	6442
3.06	752	6448
3.05	708	6492
3.04	710	6490
3.03	726	6474
3.02	678	6522
3.01	764	6436
3	720	6480
2.99	760	6440
2.98	722	6478
2.97	716	6484
2.96	730	6470
2.95	774	6426
2.94	722	6478
2.93	750	6450
2.92	752	6448
2.91	694	6506
2.9	768	6432
2.89	668	6532
2.88	736	6464
2.87	740	6460
2.86	666	6534
2.85	694	6506
2.84	690	6510
2.83	708	6492
2.82	688	6512
2.81	720	6480
2.8	732	6468
2.79	750	6450
