T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	70	442
4.99	54	458
4.98	70	442
4.97	66	446
4.96	72	440
4.95	80	432
4.94	84	428
4.93	62	450
4.92	70	442
4.91	90	422
4.9	78	434
4.89	98	414
4.88	66	446
4.87	68	444
4.86	72	440
4.85	74	438
4.84	72	440
4.83	70	442
4.82	60	452
4.81	70	442
4.8	64	448
4.79	68	444
4.78	66	446
4.77	64	448
4.76	66	446
4.75	84	428
4.74	68	444
4.73	64	448
4.72	60	452
4.71	50	462
4.7	86	426
4.69	70	442
4.68	74	438
4.67	72	440
4.66	72	440
4.65	76	436
4.64	62	450
4.63	88	424
4.62	60	452
4.61	52	460
4.6	80	432
4.59	68	444
4.58	68	444
4.57	68	444
4.56	70	442
4.55	72	440
4.54	60	452
4.53	78	434
4.52	56	456
4.51	60	452
4.5	68	444
4.49	68	444
4.48	66	446
4.47	66	446
4.46	58	454
4.45	66	446
4.44	72	440
4.43	58	454
4.42	96	416
4.41	66	446
4.4	68	444
4.39	62	450
4.38	64	448
4.37	54	458
4.36	72	440
4.35	68	444
4.34	110	402
4.33	54	458
4.32	54	458
4.31	54	458
4.3	80	432
4.29	62	450
4.28	66	446
4.27	60	452
4.26	68	444
4.25	68	444
4.24	64	448
4.23	46	466
4.22	66	446
4.21	80	432
4.2	46	466
4.19	56	456
4.18	74	438
4.17	64	448
4.16	78	434
4.15	58	454
4.14	62	450
4.13	56	456
4.12	80	432
4.11	62	450
4.1	60	452
4.09	74	438
4.08	52	460
4.07	56	456
4.06	68	444
4.05	66	446
4.04	68	444
4.03	54	458
4.02	50	462
4.01	54	458
4	70	442
3.99	66	446
3.98	58	454
3.97	62	450
3.96	56	456
3.95	58	454
3.94	88	424
3.93	68	444
3.92	44	468
3.91	40	472
3.9	72	440
3.89	44	468
3.88	72	440
3.87	60	452
3.86	54	458
3.85	68	444
3.84	78	434
3.83	74	438
3.82	68	444
3.81	40	472
3.8	52	460
3.79	42	470
3.78	70	442
3.77	46	466
3.76	76	436
3.75	60	452
3.74	50	462
3.73	82	430
3.72	60	452
3.71	46	466
3.7	60	452
3.69	56	456
3.68	80	432
3.67	62	450
3.66	58	454
3.65	62	450
3.64	54	458
3.63	46	466
3.62	60	452
3.61	50	462
3.6	72	440
3.59	64	448
3.58	76	436
3.57	60	452
3.56	48	464
3.55	44	468
3.54	46	466
3.53	72	440
3.52	48	464
3.51	56	456
3.5	76	436
3.49	54	458
3.48	50	462
3.47	56	456
3.46	48	464
3.45	70	442
3.44	40	472
3.43	52	460
3.42	60	452
3.41	46	466
3.4	58	454
3.39	54	458
3.38	58	454
3.37	66	446
3.36	50	462
3.35	60	452
3.34	50	462
3.33	62	450
3.32	46	466
3.31	52	460
3.3	56	456
3.29	42	470
3.28	60	452
3.27	52	460
3.26	48	464
3.25	46	466
3.24	50	462
3.23	48	464
3.22	56	456
3.21	68	444
3.2	28	484
3.19	44	468
3.18	54	458
3.17	54	458
3.16	60	452
3.15	46	466
3.14	58	454
3.13	54	458
3.12	62	450
3.11	54	458
3.1	54	458
3.09	46	466
3.08	50	462
3.07	56	456
3.06	62	450
3.05	56	456
3.04	76	436
3.03	56	456
3.02	54	458
3.01	50	462
3	74	438
2.99	56	456
2.98	56	456
2.97	42	470
2.96	50	462
2.95	34	478
2.94	54	458
2.93	50	462
2.92	44	468
2.91	68	444
2.9	60	452
2.89	52	460
2.88	44	468
2.87	52	460
2.86	50	462
2.85	50	462
2.84	52	460
2.83	46	466
2.82	52	460
2.81	42	470
2.8	62	450
2.79	64	448
2.78	58	454
2.77	58	454
2.76	56	456
2.75	40	472
2.74	50	462
2.73	32	480
2.72	46	466
2.71	50	462
2.7	62	450
2.69	52	460
2.68	50	462
2.67	48	464
2.66	56	456
2.65	40	472
2.64	56	456
2.63	52	460
2.62	44	468
2.61	60	452
2.6	44	468
2.59	48	464
2.58	32	480
2.57	32	480
2.56	52	460
2.55	56	456
2.54	42	470
2.53	46	466
2.52	46	466
2.51	42	470
2.5	34	478
2.49	38	474
2.48	42	470
2.47	52	460
2.46	40	472
2.45	36	476
2.44	58	454
2.43	42	470
2.42	48	464
2.41	32	480
2.4	36	476
2.39	42	470
2.38	46	466
2.37	52	460
2.36	30	482
2.35	32	480
2.34	44	468
2.33	40	472
2.32	52	460
2.31	44	468
2.3	54	458
2.29	28	484
2.28	38	474
2.27	42	470
2.26	38	474
2.25	32	480
2.24	46	466
2.23	54	458
2.22	32	480
2.21	30	482
2.2	32	480
2.19	46	466
2.18	32	480
2.17	40	472
2.16	38	474
2.15	36	476
2.14	48	464
2.13	42	470
2.12	34	478
2.11	44	468
2.1	26	486
2.09	46	466
2.08	32	480
2.07	42	470
2.06	34	478
2.05	32	480
2.04	48	464
2.03	34	478
2.02	32	480
2.01	30	482
2	34	478
1.99	42	470
1.98	32	480
1.97	38	474
1.96	38	474
1.95	44	468
1.94	28	484
1.93	42	470
1.92	46	466
1.91	38	474
1.9	40	472
1.89	24	488
1.88	30	482
1.87	38	474
1.86	34	478
1.85	28	484
1.84	26	486
1.83	34	478
1.82	34	478
1.81	40	472
1.8	38	474
1.79	38	474
1.78	24	488
1.77	36	476
1.76	36	476
1.75	20	492
1.74	22	490
1.73	28	484
1.72	18	494
1.71	18	494
1.7	24	488
1.69	16	496
1.68	20	492
1.67	32	480
1.66	22	490
1.65	28	484
1.64	18	494
1.63	30	482
1.62	24	488
1.61	16	496
1.6	26	486
1.59	20	492
1.58	28	484
1.57	22	490
1.56	22	490
1.55	18	494
1.54	16	496
1.53	26	486
1.52	36	476
1.51	30	482
1.5	14	498
1.49	24	488
1.48	26	486
1.47	34	478
1.46	22	490
1.45	24	488
1.44	16	496
1.43	24	488
1.42	16	496
1.41	18	494
1.4	24	488
1.39	10	502
1.38	16	496
1.37	16	496
1.36	22	490
1.35	20	492
1.34	16	496
1.33	24	488
1.32	20	492
1.31	12	500
1.3	24	488
1.29	24	488
1.28	8	504
1.27	16	496
1.26	14	498
1.25	4	508
1.24	18	494
1.23	20	492
1.22	16	496
1.21	20	492
1.2	16	496
1.19	16	496
1.18	12	500
1.17	12	500
1.16	14	498
1.15	12	500
1.14	10	502
1.13	4	508
1.12	10	502
1.11	14	498
1.1	10	502
1.09	8	504
1.08	8	504
1.07	16	496
1.06	10	502
1.05	14	498
1.04	6	506
1.03	12	500
1.02	6	506
1.01	8	504
1	4	508
0.99	12	500
0.98	12	500
0.97	8	504
0.96	8	504
0.95	8	504
0.94	10	502
0.93	8	504
0.92	8	504
0.91	6	506
0.9	6	506
0.89	4	508
0.88	8	504
0.87	8	504
0.86	4	508
0.85	8	504
0.84	4	508
0.83	4	508
0.82	4	508
0.81	4	508
0.8	4	508
0.79	4	508
0.78	10	502
0.77	4	508
0.76	0	512
0.75	4	508
0.74	6	506
0.73	4	508
0.72	0	512
0.71	0	512
0.7	2	510
0.69	0	512
0.68	2	510
0.67	4	508
0.66	0	512
0.65	4	508
0.64	0	512
0.63	0	512
0.62	0	512
0.61	4	508
0.6	2	510
0.59	2	510
0.58	2	510
0.57	0	512
0.56	2	510
0.55	0	512
0.54	2	510
0.53	0	512
0.52	2	510
0.51	2	510
0.5	0	512
0.49	0	512
0.48	0	512
0.47	0	512
0.46	0	512
0.45	0	512
0.44	0	512
0.43	0	512
0.42	0	512
0.41	0	512
0.4	0	512
0.39	0	512
0.38	0	512
0.37	0	512
0.36	0	512
0.35	0	512
0.34	0	512
0.33	0	512
0.32	0	512
0.31	0	512
0.3	0	512
0.29	0	512
0.28	0	512
0.27	0	512
0.26	0	512
0.25	0	512
0.24	0	512
0.23	0	512
0.22	0	512
