T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	708	4292
4.99	680	4320
4.98	700	4300
4.97	724	4276
4.96	710	4290
4.95	776	4224
4.94	664	4336
4.93	714	4286
4.92	718	4282
4.91	800	4200
4.9	736	4264
4.89	750	4250
4.88	680	4320
4.87	706	4294
4.86	708	4292
4.85	684	4316
4.84	720	4280
4.83	668	4332
4.82	674	4326
4.81	714	4286
4.8	740	4260
4.79	706	4294
4.78	738	4262
4.77	698	4302
4.76	724	4276
4.75	724	4276
4.74	748	4252
4.73	676	4324
4.72	666	4334
4.71	658	4342
4.7	714	4286
4.69	704	4296
4.68	696	4304
4.67	652	4348
4.66	722	4278
4.65	736	4264
4.64	698	4302
4.63	700	4300
4.62	672	4328
4.61	700	4300
4.6	672	4328
4.59	714	4286
4.58	702	4298
4.57	658	4342
4.56	680	4320
4.55	700	4300
4.54	684	4316
4.53	684	4316
4.52	668	4332
4.51	696	4304
4.5	688	4312
4.49	672	4328
4.48	692	4308
4.47	650	4350
4.46	702	4298
4.45	678	4322
4.44	712	4288
4.43	662	4338
4.42	662	4338
4.41	622	4378
4.4	650	4350
4.39	626	4374
4.38	642	4358
4.37	670	4330
4.36	694	4306
4.35	722	4278
4.34	674	4326
4.33	680	4320
4.32	682	4318
4.31	614	4386
4.3	636	4364
4.29	734	4266
4.28	696	4304
4.27	658	4342
4.26	690	4310
4.25	672	4328
4.24	648	4352
4.23	648	4352
4.22	666	4334
4.21	646	4354
4.2	642	4358
4.19	612	4388
4.18	656	4344
4.17	652	4348
4.16	658	4342
4.15	644	4356
4.14	620	4380
4.13	606	4394
4.12	688	4312
4.11	662	4338
4.1	596	4404
4.09	602	4398
4.08	640	4360
4.07	648	4352
4.06	606	4394
4.05	626	4374
4.04	662	4338
4.03	686	4314
4.02	648	4352
4.01	596	4404
4	554	4446
3.99	644	4356
3.98	630	4370
3.97	608	4392
3.96	638	4362
3.95	660	4340
3.94	614	4386
3.93	638	4362
3.92	608	4392
3.91	642	4358
3.9	626	4374
3.89	572	4428
3.88	632	4368
3.87	614	4386
3.86	662	4338
3.85	624	4376
3.84	592	4408
3.83	618	4382
3.82	624	4376
3.81	608	4392
3.8	592	4408
3.79	608	4392
3.78	656	4344
3.77	602	4398
3.76	588	4412
3.75	584	4416
3.74	606	4394
3.73	542	4458
3.72	626	4374
3.71	592	4408
3.7	586	4414
3.69	612	4388
3.68	604	4396
3.67	548	4452
3.66	564	4436
3.65	620	4380
3.64	584	4416
3.63	612	4388
3.62	596	4404
3.61	580	4420
3.6	640	4360
3.59	586	4414
3.58	516	4484
3.57	586	4414
3.56	606	4394
3.55	566	4434
3.54	578	4422
3.53	514	4486
3.52	588	4412
3.51	592	4408
3.5	608	4392
3.49	532	4468
3.48	582	4418
3.47	570	4430
3.46	578	4422
3.45	566	4434
3.44	548	4452
3.43	580	4420
3.42	522	4478
3.41	578	4422
3.4	556	4444
3.39	576	4424
3.38	516	4484
3.37	544	4456
3.36	520	4480
3.35	542	4458
3.34	532	4468
3.33	540	4460
3.32	554	4446
3.31	546	4454
3.3	528	4472
3.29	562	4438
3.28	548	4452
3.27	514	4486
3.26	504	4496
3.25	554	4446
3.24	546	4454
3.23	550	4450
3.22	544	4456
3.21	554	4446
3.2	538	4462
3.19	516	4484
3.18	530	4470
3.17	510	4490
3.16	518	4482
3.15	496	4504
3.14	530	4470
3.13	532	4468
