T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	180	972
4.99	182	970
4.98	140	1012
4.97	188	964
4.96	210	942
4.95	162	990
4.94	156	996
4.93	154	998
4.92	164	988
4.91	146	1006
4.9	176	976
4.89	154	998
4.88	168	984
4.87	140	1012
4.86	184	968
4.85	174	978
4.84	182	970
4.83	156	996
4.82	142	1010
4.81	164	988
4.8	144	1008
4.79	160	992
4.78	156	996
4.77	174	978
4.76	122	1030
4.75	158	994
4.74	146	1006
4.73	144	1008
4.72	184	968
4.71	176	976
4.7	128	1024
4.69	158	994
4.68	164	988
4.67	156	996
4.66	178	974
4.65	152	1000
4.64	136	1016
4.63	142	1010
4.62	148	1004
4.61	128	1024
4.6	154	998
4.59	158	994
4.58	162	990
4.57	168	984
4.56	122	1030
4.55	142	1010
4.54	148	1004
4.53	154	998
4.52	134	1018
4.51	168	984
4.5	170	982
4.49	130	1022
4.48	172	980
4.47	150	1002
4.46	172	980
4.45	146	1006
4.44	150	1002
4.43	152	1000
4.42	136	1016
4.41	160	992
4.4	142	1010
4.39	154	998
4.38	136	1016
4.37	166	986
4.36	154	998
4.35	158	994
4.34	138	1014
4.33	146	1006
4.32	192	960
4.31	140	1012
4.3	158	994
4.29	160	992
4.28	142	1010
4.27	152	1000
4.26	130	1022
4.25	144	1008
4.24	144	1008
4.23	150	1002
4.22	160	992
4.21	136	1016
4.2	148	1004
4.19	164	988
4.18	152	1000
4.17	152	1000
4.16	152	1000
4.15	140	1012
4.14	152	1000
4.13	170	982
4.12	150	1002
4.11	144	1008
4.1	136	1016
4.09	150	1002
4.08	134	1018
4.07	132	1020
4.06	162	990
4.05	146	1006
4.04	130	1022
4.03	152	1000
4.02	162	990
4.01	130	1022
4	146	1006
3.99	140	1012
3.98	150	1002
3.97	160	992
3.96	142	1010
3.95	144	1008
3.94	126	1026
3.93	150	1002
3.92	138	1014
3.91	136	1016
3.9	156	996
3.89	120	1032
3.88	152	1000
3.87	134	1018
3.86	148	1004
3.85	168	984
3.84	136	1016
3.83	156	996
3.82	120	1032
3.81	120	1032
3.8	148	1004
3.79	144	1008
3.78	146	1006
3.77	142	1010
3.76	140	1012
3.75	152	1000
3.74	126	1026
3.73	132	1020
3.72	116	1036
3.71	120	1032
3.7	136	1016
3.69	146	1006
3.68	132	1020
3.67	128	1024
3.66	124	1028
3.65	126	1026
3.64	108	1044
3.63	126	1026
3.62	136	1016
3.61	142	1010
3.6	116	1036
3.59	150	1002
3.58	132	1020
3.57	150	1002
3.56	146	1006
3.55	150	1002
3.54	162	990
3.53	140	1012
3.52	140	1012
3.51	148	1004
3.5	164	988
3.49	124	1028
3.48	142	1010
3.47	162	990
3.46	152	1000
3.45	130	1022
3.44	140	1012
3.43	132	1020
3.42	118	1034
3.41	126	1026
3.4	114	1038
3.39	130	1022
3.38	138	1014
3.37	114	1038
3.36	132	1020
3.35	126	1026
3.34	130	1022
3.33	122	1030
3.32	128	1024
3.31	112	1040
3.3	144	1008
3.29	130	1022
3.28	116	1036
3.27	126	1026
3.26	126	1026
3.25	120	1032
3.24	114	1038
3.23	114	1038
3.22	154	998
3.21	100	1052
3.2	128	1024
3.19	104	1048
3.18	120	1032
3.17	114	1038
3.16	126	1026
3.15	144	1008
