Config	T = 5
0	40
1	190
2	126
3	185
4	113
5	169
6	154
7	187
8	162
9	281
10	258
11	167
12	112
13	172
14	125
15	59

Config	T = 4.99
0	59
1	159
2	139
3	164
4	122
5	160
6	175
7	172
8	197
9	270
10	251
11	166
12	109
13	161
14	126
15	70

Config	T = 4.98
0	66
1	162
2	110
3	174
4	116
5	177
6	174
7	159
8	180
9	288
10	259
11	182
12	115
13	170
14	109
15	59

Config	T = 4.97
0	65
1	169
2	124
3	166
4	125
5	177
6	175
7	179
8	171
9	237
10	264
11	180
12	110
13	183
14	109
15	66

Config	T = 4.96
0	62
1	170
2	117
3	172
4	121
5	163
6	187
7	157
8	185
9	234
10	280
11	186
12	117
13	184
14	113
15	52

Config	T = 4.95
0	53
1	183
2	121
3	175
4	116
5	167
6	187
7	180
8	184
9	235
10	253
11	170
12	119
13	178
14	124
15	55

Config	T = 4.94
0	70
1	168
2	125
3	173
4	121
5	164
6	162
7	163
8	171
9	257
10	256
11	171
12	136
13	166
14	140
15	57

Config	T = 4.93
0	52
1	161
2	135
3	155
4	131
5	177
6	159
7	187
8	157
9	272
10	282
11	169
12	115
13	175
14	119
15	54

Config	T = 4.92
0	68
1	157
2	131
3	162
4	117
5	170
6	189
7	179
8	208
9	243
10	248
11	165
12	107
13	160
14	121
15	75

Config	T = 4.91
0	66
1	192
2	109
3	188
4	108
5	170
6	165
7	175
8	162
9	267
10	238
11	159
12	134
13	163
14	135
15	69

Config	T = 4.9
0	48
1	169
2	141
3	171
4	140
5	159
6	183
7	158
8	186
9	208
10	278
11	188
12	113
13	186
14	114
15	58

Config	T = 4.89
0	58
1	169
2	118
3	175
4	126
5	186
6	193
7	172
8	191
9	236
10	242
11	164
12	125
13	158
14	117
15	70

Config	T = 4.88
0	61
1	176
2	119
3	171
4	127
5	154
6	199
7	151
8	186
9	246
10	262
11	184
12	108
13	189
14	100
15	67

Config	T = 4.87
0	63
1	185
2	126
3	179
4	118
5	157
6	178
7	171
8	180
9	275
10	216
11	168
12	110
13	174
14	118
15	82

Config	T = 4.86
0	47
1	183
2	117
3	181
4	119
5	178
6	176
7	178
8	172
9	254
10	252
11	181
12	115
13	183
14	113
15	51

Config	T = 4.85
0	67
1	155
2	125
3	154
4	136
5	170
6	194
7	160
8	182
9	221
10	287
11	189
12	113
13	190
14	102
15	55

Config	T = 4.84
0	56
1	177
2	141
3	168
4	132
5	182
6	156
7	200
8	156
9	214
10	264
