Config	T = 5
0	3
1	15
2	16
3	18
4	15
5	21
6	20
7	19
8	24
9	17
10	22
11	23
12	9
13	20
14	10
15	4

Config	T = 4.99
0	9
1	23
2	6
3	23
4	7
5	18
6	17
7	17
8	16
9	38
10	16
11	13
12	15
13	13
14	14
15	11

Config	T = 4.98
0	8
1	17
2	11
3	17
4	10
5	15
6	14
7	16
8	15
9	38
10	27
11	16
12	16
13	16
14	17
15	3

Config	T = 4.97
0	11
1	14
2	16
3	16
4	13
5	14
6	15
7	15
8	20
9	26
10	23
11	23
12	9
13	21
14	12
15	8

Config	T = 4.96
0	6
1	12
2	16
3	13
4	23
5	18
6	24
7	10
8	18
9	18
10	29
11	22
12	13
13	21
14	6
15	7

Config	T = 4.95
0	4
1	20
2	11
3	14
4	15
5	15
6	25
7	17
8	15
9	24
10	30
11	16
12	15
13	22
14	11
15	2

Config	T = 4.94
0	3
1	17
2	14
3	17
4	13
5	17
6	17
7	18
8	18
9	27
10	33
11	17
12	11
13	17
14	12
15	5

Config	T = 4.93
0	6
1	19
2	11
3	15
4	10
5	15
6	20
7	20
8	17
9	44
10	19
11	14
12	10
13	18
14	11
15	7

Config	T = 4.92
0	5
1	19
2	11
3	19
4	15
5	20
6	20
7	16
8	16
9	21
10	25
11	18
12	16
13	18
14	12
15	5

Config	T = 4.91
0	7
1	15
2	14
3	19
4	15
5	19
6	14
7	14
8	17
9	32
10	17
11	22
12	15
13	18
14	14
15	4

Config	T = 4.9
0	3
1	15
2	13
3	17
4	12
5	21
6	14
7	20
8	17
9	33
10	30
11	15
12	15
13	13
14	16
15	2

Config	T = 4.89
0	4
1	16
2	12
3	21
4	11
5	22
6	15
7	18
8	21
9	28
10	24
11	16
12	16
13	11
14	17
15	4

Config	T = 4.88
0	2
1	15
2	11
3	19
4	10
5	24
6	8
7	21
8	13
9	47
10	30
11	16
12	12
13	12
14	13
15	3

Config	T = 4.87
0	6
1	17
2	16
3	16
4	16
5	12
6	22
7	13
8	21
9	19
10	29
11	20
12	10
13	21
14	10
15	8

Config	T = 4.86
0	7
1	18
2	14
3	17
4	13
5	18
6	17
7	20
8	17
9	20
10	29
11	18
12	9
13	19
14	10
15	10

Config	T = 4.85
0	7
1	19
2	12
3	16
4	14
5	12
6	25
7	13
8	20
9	12
10	36
11	20
12	12
13	23
14	10
15	5

Config	T = 4.84
0	5
1	26
2	9
3	22
4	11
5	12
6	22
7	14
8	16
9	47
10	7
11	9
12	16
13	13
14	14
15	13

Config	T = 4.83
0	7
1	15
2	11
3	17
4	14
5	20
6	13
7	15
8	12
9	23
10	41
11	17
12	18
13	15
14	15
15	3

Config	T = 4.82
0	4
1	16
2	14
3	14
4	11
5	10
6	21
7	15
8	22
9	37
10	35
11	12
12	11
13	14
14	14
15	6

Config	T = 4.81
0	8
1	12
2	18
3	15
4	17
5	18
6	14
7	16
8	18
9	18
10	29
11	24
12	11
13	21
14	12
15	5

Config	T = 4.8
0	7
1	20
2	9
3	15
4	13
5	21
6	18
7	22
8	9
9	37
10	19
11	15
12	15
13	20
14	11
15	5

Config	T = 4.79
0	7
1	17
2	15
3	18
4	13
5	17
6	14
7	18
8	17
9	31
10	21
11	16
12	13
13	15
14	15
15	9

Config	T = 4.78
0	8
1	13
2	14
3	14
4	8
5	17
6	19
7	22
8	26
9	28
10	23
11	15
12	14
13	14
14	20
15	1

Config	T = 4.77
0	7
1	17
2	12
3	14
4	13
5	16
6	16
