Config	T = 5
0	11
1	28
2	16
3	26
4	22
5	28
6	36
7	24
8	28
9	38
10	40
11	24
12	24
13	26
14	18
15	11

Config	T = 4.99
0	10
1	23
2	18
3	26
4	20
5	35
6	23
7	30
8	24
9	37
10	55
11	35
12	13
13	32
14	11
15	8

Config	T = 4.98
0	15
1	27
2	16
3	29
4	19
5	31
6	28
7	26
8	27
9	40
10	36
11	30
12	18
13	28
14	15
15	15

Config	T = 4.97
0	7
1	28
2	15
3	32
4	16
5	37
6	23
7	32
8	26
9	66
10	25
11	18
12	25
13	14
14	24
15	12

Config	T = 4.96
0	9
1	28
2	22
3	21
4	24
5	28
6	23
7	33
8	14
9	55
10	38
11	22
12	24
13	29
14	22
15	8

Config	T = 4.95
0	11
1	26
2	20
3	26
4	15
5	22
6	32
7	27
8	37
9	45
10	44
11	24
12	14
13	24
14	19
15	14

Config	T = 4.94
0	11
1	29
2	19
3	31
4	22
5	33
6	24
7	28
8	23
9	41
10	33
11	29
12	18
13	27
14	15
15	17

Config	T = 4.93
0	7
1	22
2	24
3	24
4	25
5	26
6	31
7	23
8	32
9	26
10	57
11	29
12	21
13	27
14	20
15	6

Config	T = 4.92
0	7
1	19
2	24
3	24
4	19
5	30
6	28
7	30
8	38
9	45
10	43
11	27
12	16
13	22
14	21
15	7

Config	T = 4.91
0	9
1	27
2	20
3	25
4	21
5	34
6	28
7	35
8	25
9	29
10	47
11	28
12	16
13	30
14	15
15	11

Config	T = 4.9
0	10
1	23
2	29
3	21
4	25
5	22
6	34
7	28
8	36
9	31
10	38
11	23
12	18
13	25
14	22
15	15

Config	T = 4.89
0	5
1	24
2	26
3	26
4	27
5	29
6	23
7	26
8	24
9	27
10	61
11	28
12	19
13	26
14	18
15	11

Config	T = 4.88
0	6
1	34
2	19
3	25
4	15
5	27
6	26
7	40
8	21
9	44
10	46
11	19
12	19
13	28
14	23
15	8

Config	T = 4.87
0	14
1	22
2	22
3	25
4	21
5	23
6	23
7	21
8	27
9	32
10	63
11	28
12	21
13	25
14	22
15	11

Config	T = 4.86
0	14
1	25
2	20
3	29
4	15
5	23
6	19
7	24
8	28
9	48
10	46
11	34
12	16
13	30
14	21
15	8

Config	T = 4.85
0	4
1	21
2	24
3	27
4	23
5	32
6	24
7	27
8	31
9	43
10	45
11	34
12	16
13	28
14	17
15	4

Config	T = 4.84
0	12
1	26
2	13
3	27
4	18
5	42
6	24
7	36
8	20
9	64
10	17
11	22
12	28
13	21
14	23
15	7

Config	T = 4.83
0	11
1	34
2	10
3	30
4	13
5	25
6	40
7	26
8	33
9	49
10	31
11	19
12	24
13	23
14	21
15	11

Config	T = 4.82
0	9
1	26
2	23
3	24
4	22
5	26
6	27
7	29
8	26
9	33
10	47
11	30
12	20
13	32
14	21
15	5

Config	T = 4.81
0	10
1	22
2	20
3	32
4	22
5	28
6	28
7	16
8	36
9	40
10	39
11	41
12	14
13	31
14	12
15	9

Config	T = 4.8
0	9
1	26
2	17
3	32
4	21
5	29
6	27
7	19
8	29
9	50
10	41
11	36
12	12
13	30
14	8
15	14

Config	T = 4.79
0	15
1	31
2	18
3	29
4	19
5	27
6	25
7	28
8	22
9	38
10	36
11	21
12	27
13	23
14	26
15	15

Config	T = 4.78
0	4
1	31
2	14
3	37
4	15
5	35
6	16
7	28
8	21
9	69
10	33
11	29
12	19
13	23
14	18
15	8

Config	T = 4.77
0	8
1	28
2	20
3	30
4	19
5	30
6	27
7	29
8	30
9	42
10	37
11	27
12	17
13	25
14	18
15	13

Config	T = 4.76
0	9
1	30
2	16
3	36
4	15
5	31
6	23
7	26
8	30
9	46
10	34
11	28
12	21
13	22
14	22
15	11

Config	T = 4.75
0	9
1	30
2	18
3	33
4	17
5	21
6	29
7	19
8	33
9	50
10	35
11	30
12	19
13	27
14	20
15	10

Config	T = 4.74
0	10
1	21
2	30
3	21
4	31
5	23
6	24
7	22
8	23
9	29
10	52
11	36
12	17
13	36
14	16
15	9

Config	T = 4.73
0	5
1	25
2	20
3	27
4	24
5	29
6	31
7	23
8	29
9	44
10	48
11	26
12	19
13	24
14	15
15	11

Config	T = 4.72
0	10
1	34
2	12
3	32
4	15
5	23
6	35
7	22
8	30
9	58
10	23
11	24
12	26
13	26
14	23
15	7

Config	T = 4.71
0	5
1	25
2	24
3	22
4	18
5	17
6	27
7	26
8	30
9	53
10	58
11	24
12	17
13	27
14	23
15	4

Config	T = 4.7
0	5
1	23
2	23
3	29
4	24
5	33
6	23
7	26
8	28
9	33
10	49
11	34
12	19
13	28
14	18
15	5

Config	T = 4.69
0	9
1	24
2	21
3	24
4	23
5	29
6	26
7	27
8	24
9	42
10	49
11	31
12	17
13	31
14	15
15	8

Config	T = 4.68
0	14
1	30
2	15
3	26
4	17
5	30
6	32
7	32
8	26
9	32
10	40
11	32
12	15
13	36
14	13
15	10

Config	T = 4.67
0	9
1	29
2	23
3	24
4	22
5	28
6	36
7	34
8	32
9	28
10	29
11	28
12	17
13	33
14	18
15	10

Config	T = 4.66
0	11
1	25
2	17
3	27
4	23
5	37
6	34
7	29
8	30
9	32
10	33
11	25
12	24
13	23
14	18
15	12

Config	T = 4.65
0	9
1	23
2	22
3	32
4	24
5	33
6	29
7	22
8	36
9	27
10	34
11	31
12	24
13	22
14	22
15	10

Config	T = 4.64
0	10
1	26
2	21
3	29
4	20
5	36
6	21
7	34
8	25
9	37
10	36
11	29
12	19
13	26
14	20
15	11

Config	T = 4.63
0	9
1	24
2	19
3	26
4	18
5	33
6	25
7	32
8	28
9	49
10	39
11	26
12	20
13	24
14	21
15	7

Config	T = 4.62
0	14
1	23
2	18
3	22
4	17
5	34
6	24
7	36
8	24
9	44
10	42
11	28
12	19
13	29
14	20
15	6

Config	T = 4.61
0	7
1	25
2	15
3	23
4	19
5	29
6	35
7	27
8	29
9	55
10	45
11	20
12	24
13	22
14	20
15	5

Config	T = 4.6
0	12
1	26
2	19
3	20
4	23
5	27
6	33
7	29
8	23
9	36
10	46
11	29
12	20
13	35
14	16
15	6

Config	T = 4.59
0	3
1	29
2	19
3	27
4	18
5	27
6	28
7	30
8	27
9	49
10	47
11	27
12	18
13	29
14	19
15	3

Config	T = 4.58
0	9
1	31
2	28
3	28
4	22
5	25
6	13
7	34
8	16
9	39
10	38
11	31
12	18
13	34
14	24
15	10

Config	T = 4.57
0	10
1	25
2	22
3	28
4	25
5	32
6	20
7	26
8	20
9	36
10	45
11	30
12	24
13	27
14	21
15	9

Config	T = 4.56
0	7
1	20
2	22
3	24
4	22
5	21
6	38
7	17
8	42
9	38
10	57
11	27
12	16
13	23
14	16
15	10

Config	T = 4.55
0	7
1	33
2	14
3	36
4	16
5	34
6	26
7	29
8	27
9	42
10	37
11	27
12	18
13	24
14	16
15	14

Config	T = 4.54
0	12
1	23
2	22
3	24
4	16
5	27
6	27
7	32
8	34
9	44
10	38
11	27
12	17
13	26
14	23
15	8

Config	T = 4.53
0	11
1	28
2	14
3	28
4	17
5	27
6	31
7	24
8	28
9	53
10	40
11	23
12	23
13	23
14	20
15	10

Config	T = 4.52
0	6
1	34
2	21
3	30
4	13
5	27
6	24
7	39
8	28
9	46
10	32
11	24
12	15
13	28
14	23
15	10

Config	T = 4.51
0	9
1	27
2	19
3	33
4	21
5	35
6	23
7	27
8	27
9	32
10	39
11	33
12	20
13	27
14	18
15	10

Config	T = 4.5
0	10
1	21
2	22
3	21
4	27
5	29
6	28
7	24
8	23
9	28
10	63
11	35
12	16
13	35
14	11
15	7

Config	T = 4.49
0	7
1	31
2	22
3	29
4	20
5	24
6	27
7	28
8	27
9	41
10	37
11	27
12	20
13	29
14	22
15	9

Config	T = 4.48
0	3
1	28
2	26
3	31
4	27
5	25
6	22
7	21
8	24
9	49
10	37
11	31
12	19
13	28
14	18
15	11

Config	T = 4.47
0	12
1	34
2	15
3	33
4	12
5	32
6	21
7	36
8	23
9	38
10	30
11	27
12	26
13	28
14	29
15	4

Config	T = 4.46
0	9
1	23
2	19
3	23
4	25
5	33
6	30
7	27
8	24
9	44
10	45
11	25
12	22
13	25
14	16
15	10

Config	T = 4.45
0	9
1	27
2	22
3	23
4	20
5	28
6	26
7	34
8	24
9	41
10	40
11	28
12	20
13	32
14	22
15	4

Config	T = 4.44
0	7
1	29
2	17
3	30
4	18
5	24
6	22
7	22
8	22
9	62
10	45
11	32
12	17
13	31
14	16
15	6

Config	T = 4.43
0	11
1	31
2	20
3	32
4	19
5	31
6	22
7	31
8	24
9	33
10	31
11	36
12	17
13	35
14	18
15	9

Config	T = 4.42
0	4
1	32
