T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	710	4290
4.9	778	4222
4.8	742	4258
4.7	746	4254
4.6	720	4280
4.5	714	4286
4.4	714	4286
4.3	718	4282
4.2	616	4384
4.1	668	4332
4	644	4356
3.9	624	4376
3.8	638	4362
3.7	604	4396
3.6	624	4376
3.5	596	4404
3.4	632	4368
3.3	604	4396
3.2	584	4416
3.1	526	4474
3	560	4440
2.9	520	4480
2.8	506	4494
2.7	438	4562
2.6	446	4554
2.5	444	4556
2.4	436	4564
2.3	404	4596
2.2	390	4610
2.1	378	4622
2	334	4666
1.9	348	4652
1.8	332	4668
1.7	284	4716
1.6	252	4748
1.5	230	4770
1.4	166	4834
1.3	166	4834
1.2	148	4852
1.1	104	4896
1	76	4924
0.9	62	4938
0.8	60	4940
0.7	24	4976
0.6	6	4994
0.5	8	4992
0.4	0	5000
0.3	0	5000
0.2	0	5000
0.1	0	5000
