Config	T = 5
2	16188
3	61923
4	16045
5	56429
6	56618
7	56556
8	56777
9	133947
10	132964
11	61439
12	16420
13	61423
14	16563
15	2455

Config	T = 1.4
0	1904
1	62011
2	14629
3	61959
4	14518
5	56029
6	56095
7	56192
8	56154
9	138574
10	136917
11	61831
12	14643
13	61883
14	14754
15	1907

Config	T = 1.3
0	1502
1	61938
2	12955
3	62064
4	12842
5	55730
6	55428
7	55717
8	55667
9	142814
10	142087
11	62071
12	12790
13	61945
14	12903
15	1547

Config	T = 1.2
0	1148
1	62573
2	10970
3	62387
4	10974
5	54765
6	54503
7	54947
8	54313
9	148220
10	147137
11	62409
12	10963
13	62595
14	10959
15	1137

Config	T = 1.1
0	745
1	62265
2	9013
3	62245
4	9030
5	53547
6	53755
7	53550
8	53718
9	154455
10	154391
11	62248
12	9015
13	62268
14	8998
15	757

Config	T = 1
0	535
1	62255
2	7053
3	62014
4	7046
5	52489
6	52031
7	52737
8	51797
9	162145
10	160959
11	62086
12	7010
13	62327
14	7017
15	499

Config	T = 0.9
0	302
1	61675
2	5214
3	61582
4	5228
5	50554
6	50776
7	50633
8	50669
9	170029
10	169325
11	61728
12	5094
13	61821
14	5080
15	290

Config	T = 0.8
0	138
1	60501
2	3360
3	60599
4	3369
5	48729
6	49071
7	48622
8	49160
9	179133
10	179365
11	60495
12	3459
13	60397
14	3450
15	152

Config	T = 0.7
0	60
1	58439
2	1991
3	58440
4	2024
5	46541
6	46366
7	46507
8	46334
9	189322
10	193014
11	58491
12	1981
13	58490
14	1948
15	52

Config	T = 0.6
0	20
1	54873
2	957
3	54967
4	942
5	43551
6	43846
7	43472
8	43955
9	205763
10	205893
11	54985
12	926
13	54891
14	941
15	18

Config	T = 0.5
0	2
1	47869
2	295
3	47885
4	302
5	40435
6	38246
7	40412
8	38255
9	229449
10	230498
11	47892
12	294
13	47876
14	287
15	3

Config	T = 0.4
0	1
1	35880
2	88
3	35968
4	93
5	30331
6	32615
7	30238
8	32698
9	270608
10	269450
11	35958
12	103
13	35870
14	98
15	1

Config	T = 0.3
0	0
1	24849
2	12
3	24810
4	13
5	22880
6	22949
7	22918
8	22909
9	302728
10	316248
11	24820
12	3
13	24859
14	2
15	0

Config	T = 0.2
0	0
1	23293
2	0
3	23304
4	0
5	21707
6	21696
7	21696
8	21707
9	311064
10	318936
11	23304
12	0
13	23293
14	0
15	0

Config	T = 0.1
0	0
1	23310
2	0
3	23361
4	0
5	21690
6	21639
7	21639
8	21690
9	310850
10	319150
11	23361
12	0
13	23310
14	0
15	0

