Config	T = 5
0	8702
1	25266
2	17563
3	25133
4	17709
5	25003
6	25376
7	24990
8	25097
9	35643
10	35344
11	25042
12	17601
13	25175
14	17455
15	8901

Config	T = 4.9
0	8564
1	25227
2	17395
3	25240
4	17524
5	25127
6	25243
7	24985
8	25127
9	35316
10	36359
11	25301
12	17406
13	25288
14	17277
15	8621

Config	T = 4.8
0	8485
1	25105
2	17336
3	25077
4	17421
5	25015
6	25468
7	24958
8	25355
9	35763
10	36501
11	25387
12	17203
13	25415
14	17118
15	8393

Config	T = 4.7
0	8115
1	25136
2	17274
3	25294
4	17499
5	25424
6	25410
7	25041
8	25343
9	36276
10	36046
11	25376
12	17241
13	25218
14	17016
15	8291

Config	T = 4.6
0	8106
1	25355
2	17140
3	25324
4	17178
5	25505
6	25027
7	25498
8	24958
9	36090
10	36700
11	25360
12	17158
13	25391
14	17120
15	8090

Config	T = 4.5
0	7856
1	25464
2	16965
3	25481
4	17001
5	25347
6	25172
7	25294
8	25153
9	36875
10	36832
11	25251
12	17024
13	25234
14	16988
15	8063

Config	T = 4.4
0	7770
1	25397
2	17021
3	25459
4	17031
5	25192
6	25270
7	25120
8	25322
9	37070
10	36624
11	25636
12	16900
13	25574
14	16890
15	7724

Config	T = 4.3
0	7495
1	25359
2	16756
3	25364
4	16846
5	25256
6	25711
7	25161
8	25626
9	37215
10	37498
11	25362
12	16741
13	25357
14	16651
15	7602

Config	T = 4.2
0	7489
1	25443
2	16626
3	25499
4	16724
5	25283
6	25455
7	25129
8	25413
9	37266
10	37955
11	25549
12	16611
13	25493
14	16513
15	7552

Config	T = 4.1
0	7088
1	25627
2	16434
3	25629
4	16365
5	25342
6	25356
7	25409
8	25427
9	38418
10	37891
11	25459
12	16406
13	25457
14	16475
15	7217

Config	T = 4
0	6825
1	25654
2	16302
3	25531
4	16461
5	25491
6	25561
7	25455
8	25279
9	38368
10	38527
11	25369
12	16396
13	25492
14	16237
15	7052

Config	T = 3.9
0	6761
1	25604
2	16143
3	25704
4	16075
5	25203
6	25633
7	25171
8	25801
9	38826
10	38853
11	25657
12	16061
13	25557
14	16129
15	6822

Config	T = 3.8
0	6681
1	25683
2	15867
3	25717
4	15844
5	25560
6	25395
7	25549
8	25452
9	39099
10	39281
11	25654
12	15987
13	25620
14	16010
15	6601

Config	T = 3.7
0	6350
1	25581
2	15844
3	25758
4	15727
5	25654
6	25347
7	25594
8	25641
9	39552
10	39664
11	25896
12	15617
13	25719
14	15734
15	6322

Config	T = 3.6
0	6095
1	25971
2	15504
3	25899
4	15526
5	25622
6	25728
7	25672
8	25634
9	39492
10	39930
11	25770
12	15587
13	25842
14	15565
15	6163

Config	T = 3.5
0	5908
1	25855
2	15369
3	25712
4	15459
5	25501
6	25762
7	25554
8	25529
9	40221
10	40869
11	25838
12	15291
13	25981
14	15201
15	5950

Config	T = 3.4
0	5738
1	25861
2	15046
3	25792
4	15125
5	25749
6	25752
7	25739
8	25604
9	40526
10	41396
11	25858
12	15169
13	25927
14	15090
15	5628

Config	T = 3.3
0	5587
1	26005
2	14943
3	26111
4	14879
5	25718
6	25490
7	25676
8	25660
9	41561
10	40796
11	26001
12	15038
13	25895
14	15102
15	5538

Config	T = 3.2
0	5231
1	25847
2	15064
3	25632
