T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	76	436
4.9	76	436
4.8	66	446
4.7	62	450
4.6	76	436
4.5	76	436
4.4	74	438
4.3	84	428
4.2	58	454
4.1	86	426
4	82	430
3.9	66	446
3.8	56	456
3.7	54	458
3.6	66	446
3.5	48	464
3.4	64	448
3.3	48	464
3.2	52	460
3.1	44	468
3	54	458
2.9	58	454
2.8	68	444
2.7	48	464
2.6	60	452
2.5	46	466
2.4	38	474
2.3	24	488
2.2	50	462
2.1	44	468
2	34	478
1.9	28	484
1.8	44	468
1.7	36	476
1.6	24	488
1.5	20	492
1.4	16	496
1.3	12	500
1.2	14	498
1.1	18	494
1	2	510
0.9	6	506
0.8	6	506
0.7	2	510
0.6	6	506
0.5	0	512
0.4	0	512
0.3	0	512
0.2	0	512
0.1	0	512
