T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	1072	6128
4.9	1074	6126
4.8	1082	6118
4.7	1006	6194
4.6	1036	6164
4.5	962	6238
4.4	1034	6166
4.3	968	6232
4.2	970	6230
4.1	966	6234
4	892	6308
3.9	908	6292
3.8	902	6298
3.7	870	6330
3.6	898	6302
3.5	856	6344
3.4	826	6374
3.3	868	6332
3.2	836	6364
3.1	708	6492
3	804	6396
2.9	760	6440
2.8	726	6474
2.7	756	6444
2.6	646	6554
2.5	580	6620
2.4	606	6594
2.3	598	6602
2.2	536	6664
2.1	526	6674
2	528	6672
1.9	474	6726
1.8	450	6750
1.7	398	6802
1.6	374	6826
1.5	332	6868
1.4	328	6872
1.3	274	6926
1.2	206	6994
1.1	162	7038
1	146	7054
0.9	110	7090
0.8	88	7112
0.7	38	7162
0.6	16	7184
0.5	4	7196
0.4	0	7200
0.3	0	7200
0.2	0	7200
0.1	0	7200
