T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	2450	13750
4.9	2296	13904
4.8	2276	13924
4.7	2346	13854
4.6	2274	13926
4.5	2222	13978
4.4	2184	14016
4.3	2188	14012
4.2	2184	14016
4.1	2198	14002
4	2168	14032
3.9	2072	14128
3.8	2110	14090
3.7	1988	14212
3.6	1880	14320
3.5	1896	14304
3.4	1890	14310
3.3	1858	14342
3.2	1796	14404
3.1	1852	14348
3	1658	14542
2.9	1624	14576
2.8	1650	14550
2.7	1518	14682
2.6	1518	14682
2.5	1476	14724
2.4	1394	14806
2.3	1312	14888
2.2	1234	14966
2.1	1236	14964
2	1220	14980
1.9	1080	15120
1.8	1056	15144
1.7	908	15292
1.6	806	15394
1.5	722	15478
1.4	626	15574
1.3	590	15610
1.2	496	15704
1.1	384	15816
1	316	15884
0.9	232	15968
0.8	140	16060
0.7	70	16130
0.6	48	16152
0.5	18	16182
0.4	2	16198
0.3	0	16200
0.2	0	16200
0.1	0	16200
