Config	T = 5
0	61
1	163
2	133
3	150
4	133
5	168
6	195
7	181
8	182
9	218
10	283
11	158
12	118
13	171
14	118
15	68

Config	T = 4.99
0	65
1	172
2	128
3	184
4	132
5	163
6	155
7	147
8	163
9	214
10	292
11	190
12	130
13	178
14	126
15	61

Config	T = 4.98
0	70
1	146
2	134
3	149
4	130
5	169
6	172
7	170
8	179
9	247
10	293
11	181
12	110
13	178
14	114
15	58

Config	T = 4.97
0	64
1	175
2	122
3	168
4	131
5	172
6	154
7	170
8	138
9	288
10	268
11	154
12	135
13	161
14	126
15	74

Config	T = 4.96
0	58
1	173
2	138
3	179
4	129
5	161
6	163
7	164
8	178
9	230
10	265
11	170
12	123
13	164
14	132
15	73

Config	T = 4.95
0	54
1	165
2	145
3	157
4	139
5	158
6	174
7	172
8	172
9	208
10	304
11	188
12	100
13	196
14	106
15	62

Config	T = 4.94
0	70
1	195
2	112
3	189
4	116
5	170
6	172
7	172
8	162
9	234
10	239
11	161
12	131
13	167
14	127
15	83

Config	T = 4.93
0	72
1	169
2	126
3	163
4	120
5	163
6	178
7	175
8	178
9	253
10	240
11	167
12	129
13	173
14	135
15	59

Config	T = 4.92
0	56
1	167
2	125
3	177
4	109
5	155
6	164
7	161
8	190
9	285
10	278
11	186
12	99
13	176
14	115
15	57

Config	T = 4.91
0	62
1	168
2	136
3	172
4	128
5	166
6	158
7	170
8	170
9	252
10	255
11	175
12	122
13	171
14	130
15	65

Config	T = 4.9
0	66
1	169
2	126
3	187
4	117
5	147
6	155
7	138
8	182
9	247
10	293
11	185
12	127
13	167
14	136
15	58

Config	T = 4.89
0	50
1	179
2	121
3	177
4	111
5	150
6	179
7	162
8	187
9	269
10	281
11	157
12	127
13	159
14	137
15	54

Config	T = 4.88
0	56
1	172
2	127
3	171
4	134
5	183
6	162
7	177
8	154
9	267
10	252
11	166
12	124
13	167
14	117
15	71

Config	T = 4.87
0	70
1	184
2	117
3	173
4	125
5	170
6	182
7	173
8	163
9	249
10	216
11	164
12	143
13	175
14	135
15	61

Config	T = 4.86
0	60
1	152
2	134
3	159
4	126
5	173
6	167
7	174
8	182
9	246
10	288
11	174
12	119
13	167
14	127
15	52

Config	T = 4.85
0	43
1	166
2	124
3	155
4	127
5	164
6	185
7	172
8	171
9	229
10	347
11	168
12	116
13	179
14	113
15	41

Config	T = 4.84
0	68
1	154
2	137
3	166
4	136
5	169
6	176
7	158
8	189
9	229
10	249
11	194
12	116
13	182
14	117
15	60

